Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
2202,enalapril,4,Highly Effective,Mild Side Effects,management of congestive heart failure,slowed progression left ventricular dysfunction overt heart failure alone agents managment hypertension mangagement congestive heart failur,"cough, hypotension , proteinuria, impotence , renal failure , angina pectoris , tachycardia , eosinophilic pneumonitis, tastes disturbances , anusease anorecia , weakness fatigue insominca weakness",monitor blood pressure weight asses resolution fluid
3117,ortho-tri-cyclen,1,Highly Effective,Severe Side Effects,birth prevention,although type birth control cons pros help cramps also effective prevention pregnancy along use condoms well,"heavy cycle, cramps, hot flashes, fatigue, long lasting cycles. it's only been 5 1/2 months, but i'm concidering changing to a different bc. this is my first time using any kind of bc, unfortunately due to the constant hassel, i'm not happy with the results.",hate birth control would suggest anyone
3947,prilosec,3,Marginally Effective,Mild Side Effects,acid reflux,acid reflux went away months days drug heartburn started soon stopped taking began treatment 6 months passed stopped taking heartburn came back seemed worse even doctor said try another 6 month treatment exact thing happened went three years asked curing reflux doctor quite frankly told cure treatment symptoms told would probably rest life,"constipation, dry mouth and some mild dizziness that would go away after medication was stopped for a few days.",given prilosec prescription dose 45mg per day medication taken every morning eating treatment duration 6 months
1951,lyrica,2,Marginally Effective,Severe Side Effects,fibromyalgia,think lyrica starting help pain severe continue,i felt extremely drugged and dopey.  could not drive at all while on this med.  also had extreme ankle and feet swelling and couldn't even wear shoes.,see
2372,propecia,1,Ineffective,Severe Side Effects,hair loss,taking propecia year starting 20 years age hair continued thin noticed significant benefits,"low sex drive, before i started taking this drug i was 19 years of age and full of ""enthousiasm"". now engaged and 21 years old, my sex drive is very low, my wife and i are very unsatisfied. i am also very tired even during peak hours throughout the day, and its hard to concentrate on mundain tasks",one pill daily
1686,claritin,1,Ineffective,Extremely Severe Side Effects,allergies,none nothing help allergies dryer painful version allergies new developing top original ones stuff dangerous side effects many people experiencing listed package class action lawsuit needs happen,i had some horrifying mental and physical side effects. ruined a year of my life.  read this - it mentions everything i dealt with: http://www.askapatient.com/viewrating.asp?drug=19658&name=claritin,took one 10 mg pill nightly
2643,aldara,4,Considerably Effective,Severe Side Effects,skin cancer,aldara seem crust previous skin cancer area help minimize scar mohs surgery skin cancer due side effects could tolerate one week opposed 6 week regiman,"i felt an out of it feeling, like a depressed feeling, i was fatigued and i broke out with severe blisters on and around my lips.",used packet 5 cream nose every night alternating nights put entire packet entire face
3201,omnicef,1,Marginally Effective,Severe Side Effects,sore throat ear infections,know yet back pediatrician today,"my one year old daughter who has an awesome disposition (and always has) became restless and agitated. very touchy, aggressive, crying a lot, and having a hard time sleeping. also refluxing a lot and not nursing normally. it just dawned on me this morning it must be the medication. will request another antibiotic today from the pediatrician.",thanks
1959,lyrica,1,Marginally Effective,Severe Side Effects,"fibromyalgia, failed back syndrome",seemed work first side effects started fatigue severe memory loss poor decisions urinary incontinence personality changes crabby irritable withdrawn hard part ca seem get stuff withdrawals horrible shakiness feelings doom loss appetite nausea palpitations scares much start taking stuck ever start stuff something wrong know ever,see above,lyrica 150mg twice day
630,nortriptyline,3,Moderately Effective,Severe Side Effects,a typical migraines,migraines gives weird sensation ears roaring sense vibrating also headacheds seem come ears back neck help feel better started decrease symptoms side effects worse original symptoms helped ignore symptoms helped get day,"ringing in the ears, sensitivity to noise, phantom noise in head, which all lead to anxiety",stopped medicine looking something else help
175,depakote,4,Highly Effective,Severe Side Effects,seizure disorder,med controlled seizure disorder,"the side effects were terrible. i endured daily moderate to severe headaches which i had to treat with high dosage of ibuprofen and a 50 lb. weight gain over two months on a 5'2"" frame with no change in my diet. i could not shake the weight until i discontinued taking the med.",treatment take med daily controlled seizure disorder side effects much talked physician two years said got ta go prescribed lamictal lost 40 lbs one month simply stopping depakote
830,zegerid,1,Moderately Effective,Severe Side Effects,acid reflux,drug reduced frequency acid reflux events associated pain,after a few days i experienced severe muscle ache in legs such that i had difficulty climbing stairs. i also had overwhelming fatigue and even indigestion,drug fairly effective one week use week cure reflux completely side effects debilitating experienced rebound effect stopping lasted approximately four weeks endoscopy diagnosed gastritis
1441,tirosint,5,Marginally Effective,No Side Effects,tsh level was low no clinical symtoms,cold discern clinical symptom tsh leel lab test result indicate improvement tsh level doctor increase dosage drug,none,every morning took pill water waited 2 hours breakfast side effects noted clearcut benefits either healthy senior physical problem low level thyroid hormone
1483,cymbalta,2,Considerably Effective,Severe Side Effects,anxiety/ pain,pain anxiety considerably lower felt like situation controllable much effective daily tasks panic attacks chest pains severe worry almost completely gone added benefit muscle pain always seemed also gone rarely take pain meds seemed like miracle,"at first i seemed a bit hot. i sweat more often. then i began not being able to handle any stress at all. i began feeling like i needed other aids to help me deal with everyday stress and i have never needed anything before. then my stomach began to act up. i began having constipation or diarrhea constantly. never normal. i began throwing up and now my stomach does not digest food well at all. i also was unable to sleep, severe insomnia. i chose to take myself off the medication because the stomach issues have completely taken over my life and causing major disability. the side effect have intensified so much that i cannot function daily. severe dizziness, nausea, vomiting, and my mind has been having lapses. sometimes i cannot get out of bed. it has been over a week.",60mg day took every morning
2319,lexapro,5,Moderately Effective,Moderate Side Effects,depression and generalized anxiety,sought treatment two problems life temper daughter lack motivation drug really helped control temper fact temper became nonexistent used yell lot stopped completely within two weeks medication however benefit experienced,"i gained 15 pounds, which my doctor swears was not related to the medication.  but - i have always struggled to gain weight - i weighed 95 pounds in college and finally got up to a healthy 115 with a lot of hard work.  in just the two months of being on lexapro, i went up to 130.  not being able to fit into any of my clothes during summer is not helping my depression.

immediately upon beginning to take lexapro, i felt ""high"" for about two weeks.  my doctor says ""that shouldn't happen because of the medication.""  well, i wasn't doing any other drugs, so i don't know what to tell you there.

possibly the worst side effect i experienced was a decrease in motivation.  if you read above, you may have noticed that one of the two reasons i sought treatment was to increase my motivation.  i had a hard time keeping my house clean and getting started on tasks.  well, within two weeks of starting this medication, i began needing long naps (3+ hours) every day just to function.  i watched tv for the rest of the day.  i had no interest in work and basically messed around all day instead of working.  it was a severe decrease in motivation.

also, i had no sex drive and was unable to orgasm.",missed appointment doctor able get refill lexapro week time longer needed take naps although still procrastinate back levels procrastination terrible levels experienced drug temper come back though withdrawals caused nauseous began throwing migraines ever since stopped taking doctor said medication maybe flu last night though great sex husband able orgasm easily needless say doctor appointment today asked switched begin wellbutrin right away oh fired doctor
3350,lipitor,3,Marginally Effective,No Side Effects,high colorestoral,cholesterol lowered 15 points seem anything else supposed,there were no discernible side effects. i took the drug for a year and i did not notice any side effects or changes after i stopped taking the drug.,high cholesterol considered risk heart attack drug supposed lower cholesterol level would reduce heart plaque might building arteries lowered cholesterol somewhat ultimately diet much change counts
3193,omnicef,3,Highly Effective,Extremely Severe Side Effects,sore throat,treatment cured sore throat perscribed,"during the 10 days taking the drug there were no side effects, however the day after the last dosage, i began having severe diarrhea, which persisted and was diagnosed as a bacterial infection called clostridium difficil, caused by the antibiotic i had taken.",took omnicef orally 10 days clostridium difficil diagnosed start new course drugs repeated new cured
366,neurontin,1,Ineffective,Moderate Side Effects,severe neck pain lasting 8-9 mons,well wanted comment get incite medication proscribed medication yesterday took first one bed doctor said woke morning feeling like drank case beer stumbled getting bed felt like dying thirst wondering normal oh sleepy unable wake till nearly noon started sober 3yr old son stay home need able function spoke doctor problems told want anything strong previously put vicodin flexeral hated could take care son could function im trying find solution pain without messed see back october 2009 fell backwards dresser corner putting sons clothes welkin closet two possible fractures two slipped disks neck brace please let know idea insurance cover physical therapy unfortunately,"dizziness , sleepy , dry mouth very thirsty",treatment suppose help control neck pain headaches
2859,soma,5,Highly Effective,Moderate Side Effects,back injury,minimized pain immediatley made back injury seem,could not remember doing things.  almost like being in a time warp.  not good to take this medication unsupervised.,bulging disc given carisoprodol relieve pain took medication 2 weeks actually needed much longer side effects intense medication relieve pain way cures injury
3382,lipitor,5,Moderately Effective,Moderate Side Effects,high cholesterol,overall cholesterol reduced 4 ldl still remained high within total opinion due thyroid condition,after several months with no side effects i suddenly had continuous bad muscular neck pain and stiffness (particularly at night) which got better when i stopped the statin.,cardiologist orginally prescribed atorvastatin omacor asking omega 3 efficacy due completed blocked artery heart discovered ebt scan thyroid doc since tried statins stayed long due lack results bringing ldl side effects stomach pain
3144,tylenol,3,Moderately Effective,Mild Side Effects,pain,little relief headache,patient experienced severe nausea accompanied by moderate lower right abdominal pain.,patient experienced severe headache accompanied sensitivity light packing information claimed relief headache suggested usage patient purchased reliance packaging information administration prescribed dosage period twelve hours little relief noticed
259,ultram,2,Moderately Effective,Mild Side Effects,ovarian cysts/sciatic nerve,found great pain relief also unlike drugs taken past drowsy sluggish day felt could function normally,"in the beginning i had very slight dizziness that would quickly subside and immediately noticed a significant decrease in appetite. after about 2 months it did not seem to work as well for the pain as it hd been. i also had what felt like strong muscle spasms that made my entire body twitch, but only for a second and only once in a while.  therefore, i decided that i would discontinue taking the medication.  that is when my problems began.",told doctor pharmacist medication quit taking withdrawal symptoms extreme cold chills severe body aches diarrhea nausea headache heart palpitations anxiety sweating dizziness vomiting depressed feelings got refill prescription gradually come occurred never substance abuse issues research learned highly addictive never felt kind pain sickness life pray never heard similar experiences others well would recommend drug believe addictive homework take anything else use otc pain relievers encourage everyone reads beginning treatment tramadol pain reliever
